Prod_Label_KMeans_k=2_sel,Biological Weight (BW),C_2,ChlorophyllA663,Chlorophyllb649,G_2,G_3,G_4,G_5,G_6,Leaf Area Index (LAI),Number of Pods (NP),Number of Seeds per Pod (NSP),Plant Height (PH),Protein Content (PCO),Protein Percentage (PPE),Relative Water Content in Leaves (RWCL),S_2,S_3,Seed Yield per Unit Area (SYUA),Sugars (Su),Weight of 300 Seeds (W3S)
0,99,False,4.1,2.1,False,False,False,False,True,0.05,158.0,2.1,50.2,0.6,39.9,0.774,False,True,4235.5,0.21,27.4
0,77,False,7.0,2.3,False,False,False,False,True,0.09,174.0,2.08,50.0,0.5,36.4,0.73,True,False,3778.3,0.775,32.2
0,134,False,7.2,1.3,False,True,False,False,False,0.09,129.0,2.2,47.0,0.5,37.6,0.722,False,False,2775.4,0.745,33.2
0,83,False,6.3,1.3,False,False,False,False,False,0.04,159.0,1.7,50.0,0.33,36.2,0.733,True,False,3789.3,0.657,37.7
1,133,True,1.5,3.3,False,False,False,True,False,0.04,128.0,2.08,52.3,0.4,39.6,0.826,False,True,5660.2,0.196,42.2
0,182,True,3.2,1.1,False,True,False,False,False,0.07,155.0,1.8,50.7,0.84,34.8,0.442,False,False,5233.5,0.445,36.3
0,85,False,8.5,1.3,True,False,False,False,False,0.08,166.3,2.2,50.0,0.58,36.5,0.676,True,False,4358.8,0.523,35.2
0,35,True,4.4,7.7,False,False,False,False,True,0.03,123.3,2.2,53.0,0.32,37.3,0.711,False,True,2133.4,0.163,27.3
0,90,True,1.3,1.2,True,False,False,False,False,0.06,128.0,1.85,49.5,0.14,36.9,0.654,True,False,3987.4,0.661,34.2
1,86,True,8.2,2.7,True,False,False,False,False,0.08,147.0,2.2,55.3,0.36,37.3,0.633,False,True,3352.2,0.161,36.6
0,75,True,1.7,2.3,False,False,False,False,False,0.1,148.0,1.6,51.2,0.6,33.4,0.613,False,False,3251.1,0.352,37.3
0,111,False,1.4,2.2,False,False,False,False,True,0.09,145.0,1.84,45.7,0.44,37.7,0.756,False,False,3211.2,0.466,28.8
1,114,False,1.2,3.2,False,False,False,True,False,0.09,129.0,2.2,52.2,0.6,34.3,0.725,False,False,5372.6,0.448,38.4
0,104,False,9.0,2.3,False,False,False,False,False,0.08,160.0,2.2,55.7,0.3,39.6,0.741,False,True,5536.8,0.559,30.2
0,87,False,8.3,1.1,True,False,False,False,False,0.1,167.0,2.08,49.8,0.6,38.0,0.624,True,False,4536.6,0.516,32.6
1,112,False,2.2,2.3,False,False,False,True,False,0.1,129.0,2.06,51.0,0.43,37.4,0.669,True,False,5675.7,0.544,36.7
1,100,True,1.3,2.3,False,False,False,False,False,0.04,88.0,1.85,47.8,0.78,36.9,0.722,False,True,4356.3,0.312,38.6
1,184,True,4.2,1.3,False,True,False,False,False,0.08,156.0,2.2,50.4,0.78,31.9,0.483,False,False,5983.9,0.579,36.8
0,32,True,4.2,7.3,False,False,False,False,True,0.04,125.0,2.1,51.2,0.31,34.8,0.732,False,True,2208.3,0.166,28.2
0,85,True,1.5,1.7,False,False,False,False,True,0.09,148.2,2.2,50.4,0.12,35.3,0.625,False,False,4269.8,0.48,33.5
0,137,True,1.6,2.2,False,False,True,False,False,0.07,144.7,1.86,50.3,0.7,33.6,0.722,False,False,5214.5,0.423,37.2
1,128,False,2.6,2.1,False,False,False,True,False,0.09,128.0,2.2,50.0,0.42,38.4,0.683,True,False,5871.8,0.554,35.3
0,81,True,7.0,2.4,False,False,True,False,False,0.1,131.4,1.7,45.3,0.14,33.5,0.664,False,True,2127.5,0.354,33.2
1,236,False,2.1,3.1,False,True,False,False,False,0.1,163.0,2.2,53.2,0.42,33.5,0.455,False,True,7424.8,0.242,40.4
0,79,True,7.2,2.1,False,False,True,False,False,0.1,130.4,1.65,43.2,0.12,33.8,0.687,False,True,2389.3,0.397,30.6
1,235,False,2.2,3.2,False,True,False,False,False,0.1,165.0,2.4,54.2,0.6,33.6,0.486,False,True,7841.5,0.248,41.4
1,95,False,6.0,1.1,False,False,True,False,False,0.1,158.0,2.05,45.6,1.12,38.0,0.657,False,False,4189.8,0.523,45.3
0,88,False,7.2,2.2,False,False,False,False,True,0.09,75.0,2.2,50.0,0.6,39.5,0.742,True,False,3428.7,0.754,33.1
0,97,False,4.2,2.3,False,False,False,False,True,0.03,159.7,1.8,51.6,0.6,36.6,0.752,False,True,4197.5,0.23,28.4
0,132,False,9.0,1.3,False,True,False,False,False,0.06,209.0,2.6,44.0,0.32,39.7,0.875,True,False,4472.7,0.663,31.2
1,130,False,1.8,3.2,True,False,False,False,False,0.1,160.0,2.6,53.3,0.36,33.6,0.651,False,True,5643.7,0.165,34.5
0,151,True,6.1,1.2,False,False,False,True,False,0.1,148.3,1.8,50.2,1.15,37.2,0.683,False,False,3067.1,1.115,37.2
0,66,True,6.9,1.1,False,False,True,False,False,0.09,156.0,2.1,52.2,0.17,32.3,0.632,True,False,3112.2,0.295,35.3
0,112,False,1.6,2.0,False,False,False,False,True,0.07,146.0,1.9,46.6,0.42,36.6,0.749,False,False,3116.3,0.45,32.2
